080916009  3    2.442    3.280 COMP 0.0461 0.0069 -0.777 0.059  ---   ---    594.40   89.00    ---    ---    341.97 360   14.138    1.5     3.7874E-06 3.3E-07
080916009  4    3.280    4.278 COMP 0.0524 0.0077 -0.700 0.062  ---   ---    525.50   67.80    ---    ---    404.72 360   14.837    1.5     3.9673E-06 3.1E-07
080916009  5    4.278    5.305 BAND 0.0263 0.0033 -0.914 0.050 -2.025 0.165 1682.00  532.00  861.12 280.14   373.01 359   10.582    1.0     3.3983E-06 2.8E-07
080916009  6    5.305    6.200 COMP 0.0347 0.0036 -1.307 0.029  ---   ---   3268.00  777.00    ---    ---    383.91 360   16.852    1.8     3.4618E-06 3.1E-07
080916009  7    6.200    7.387 COMP 0.0307 0.0057 -1.151 0.054  ---   ---    744.50  224.00    ---    ---    380.38 360   12.152    1.7     2.4723E-06 2.9E-07
080916009  8    7.387    9.391 COMP 0.0165 0.0022 -1.264 0.033  ---   ---   2538.00  797.00    ---    ---    347.08 360    7.7312   1.0     1.6617E-06 1.9E-07
080916009  9    9.391   12.023 COMP 0.0119 0.0016 -1.297 0.030  ---   ---   4714.00 1440.00    ---    ---    461.84 360    5.7881   0.81    1.2294E-06 1.5E-07
080916009 10   12.023   14.837 COMP 0.0123 0.0027 -1.085 0.062  ---   ---    832.30  284.00    ---    ---    367.64 360    4.7653   0.82    1.0755E-06 1.6E-07
080916009 11   14.837   17.692 SBPL 0.0158 0.0027 -1.104 0.068 -1.757 0.092    ---     ---   189.00  70.30   411.53 359    6.5352   0.96    1.3767E-06 1.7E-07
080916009 12   17.692   20.281 COMP 0.0243 0.0060 -0.987 0.072  ---   ---    366.00   70.10    ---    ---    406.43 360    7.2882   1.3     1.2921E-06 1.9E-07
080916009 13   20.281   22.466 COMP 0.0276 0.0057 -0.897 0.069  ---   ---    439.30   78.60    ---    ---    388.05 360    8.1611   1.2     1.7059E-06 2.0E-07
080916009 14   22.466   24.214 COMP 0.0182 0.0041 -1.064 0.062  ---   ---    633.60  176.00    ---    ---    372.9  360    6.6074   1.2     1.3997E-06 2.1E-07
080916009 15   24.214   26.288 COMP 0.0208 0.0045 -1.007 0.065  ---   ---    533.20  123.00    ---    ---    363.17 360    7.0274   1.1     1.4694E-06 2.0E-07
